#,County,Livelihood,LHZ % (weighted by area)
65 ,Rumbek North,Greater Bahr El Ghazal Sorghum And Cattle,63.1718
66 ,Yirol West,Greater Bahr El Ghazal Sorghum And Cattle,58.0186
67 ,Aweil Centre,Greater Bahr El Ghazal Sorghum And Cattle,30
68 ,Aweil East,Greater Bahr El Ghazal Sorghum And Cattle,100
69 ,Aweil North,Greater Bahr El Ghazal Sorghum And Cattle,100
70 ,Aweil South,Greater Bahr El Ghazal Sorghum And Cattle,100
71 ,Aweil West,Greater Bahr El Ghazal Sorghum And Cattle,87.1116
72 ,Gogrial East,Greater Bahr El Ghazal Sorghum And Cattle,87.7725
73 ,Gogrial West,Greater Bahr El Ghazal Sorghum And Cattle,100
74 ,Tonj East,Greater Bahr El Ghazal Sorghum And Cattle,69.1549
75 ,Tonj North,Greater Bahr El Ghazal Sorghum And Cattle,59.1283
76 ,Twic,Greater Bahr El Ghazal Sorghum And Cattle,100
77 ,Abyei,Greater Bahr El Ghazal Sorghum And Cattle,100
78 ,Jur River,Greater Bahr El Ghazal Sorghum And Cattle,42.745
79 ,Rumbek Centre,"Oil Resources, Maize And Cattle",6.39345
80 ,Rumbek North,"Oil Resources, Maize And Cattle",36.8282
81 ,Koch,"Oil Resources, Maize And Cattle",67.5198
82 ,Leer,"Oil Resources, Maize And Cattle",30.9493
83 ,Mayendit,"Oil Resources, Maize And Cattle",100
84 ,Mayom,"Oil Resources, Maize And Cattle",65.3529
85 ,Panyijiar,"Oil Resources, Maize And Cattle",46.0204
86 ,Rubkona,"Oil Resources, Maize And Cattle",31.553
87 ,Gogrial East,"Oil Resources, Maize And Cattle",12.2275
88 ,Tonj East,"Oil Resources, Maize And Cattle",30.8451
89 ,Tonj North,"Oil Resources, Maize And Cattle",40.8717
90 ,Aweil Centre,"Western Groundnuts, Sesame And Sorghum",60
91 ,Aweil West,"Western Groundnuts, Sesame And Sorghum",12.8884
92 ,Jur River,"Western Groundnuts, Sesame And Sorghum",7.10466
93 ,Raga,"Western Groundnuts, Sesame And Sorghum",100
94 ,Wau,"Western Groundnuts, Sesame And Sorghum",57
95 ,Ezo,"Western Groundnuts, Sesame And Sorghum",31.187
96 ,Ibba,"Western Groundnuts, Sesame And Sorghum",11.7092
97 ,Maridi,"Western Groundnuts, Sesame And Sorghum",6.25488
98 ,Nagero,"Western Groundnuts, Sesame And Sorghum",100
99 ,Nzara,"Western Groundnuts, Sesame And Sorghum",40.4634
100 ,Tambura,"Western Groundnuts, Sesame And Sorghum",84.105
101 ,Yambio,"Western Groundnuts, Sesame And Sorghum",22.6723
102 ,Abiemnhom,Northern Sorhgum And Livestock,100
103 ,Mayom,Northern Sorhgum And Livestock,34.6471
104 ,Pariang,Northern Sorhgum And Livestock,100
105 ,Rubkona,Northern Sorhgum And Livestock,50.3274
106 ,Fashoda,Northern Sorhgum And Livestock,100
107 ,Maban,Northern Sorhgum And Livestock,100
108 ,Malakal,Northern Sorhgum And Livestock,100
109 ,Manyo,Northern Sorhgum And Livestock,100
110 ,Melut,Northern Sorhgum And Livestock,100
111 ,Panyikang,Northern Sorhgum And Livestock,75
112 ,Renk,Northern Sorhgum And Livestock,100
113 ,Baliet,Northeastern Maize And Cattle,100
114 ,Longochuk,Northeastern Maize And Cattle,100
115 ,Luakpiny/nasir,Northeastern Maize And Cattle,100
116 ,Maiwut,Northeastern Maize And Cattle,100
117 ,Panyikang,Northeastern Maize And Cattle,25
118 ,Ulang,Northeastern Maize And Cattle,100
